v_products_model	v_products_image	v_products_name_1	v_products_description_1	v_products_url_1	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
Book	b_g_grid.gif	Book	This Book is sold as a Book that is shipped to the customer or as a Download.<br><br>    Only the Book itself is on Special. The Downloadable versions are not on Special.<br><br>    This Book under Categories/Products is set to:<br><br>    Product Priced by Attributes: Yes<br>  Products Price: 0.00<br>  Weight: 0<br><br>    An Option Name of: Version (type is dropdown)<br><br>  Option Values of: Book Hard Cover<br><br>  Download: MAC English<br><br>  Download: Windows English<br><br>    The Attributes are set as:<br>  Option Name: Version<br>  Option Value: Book Hard Cover<br>  Price Prefix is blank<br>  Price: 52.50<br>  Weight Prefix is blank  Weight: 1<br>  Include in Base Price When Priced by Attributes Yes<br>  Apply Discounts Used by Product Special/Sale: Yes<br><br>    Option Name: Version<br>  Option Value: Download: MAC English<br>  Price Prefix is blank<br>  Price: 20.00<br>  Weight: 0  Include in Base Price When Priced by Attributes No<br>  Apply Discounts Used by Product Special/Sale: No<br><br>    Option Name: Version<br>  Option Value: Download: Windows: English<br>  Price Prefix is blank<br>  Price: 20.00<br>  Weight: 0<br>  Include in Base Price When Priced by Attributes No<br>  Apply Discounts Used by Product Special/Sale: No<br><br>    It is on Special for $47.50<br><br>		0	0		2004-09-24 23:54:34	1000	Hewlett Packard	New v1.2	Real						Taxable Goods	0	EOREOR
RTBHUNTER	sooty.jpg	Russ Tippins Band - The Hunter			4.99	3		2004-05-18 10:42:50	10000	Hewlett Packard	Music							Taxable Goods	0	EOREOR
		Test Document	This is a test document		0	0		2004-05-18 10:42:50	0		Documents							--none--	1	EOREOR
DPT	samples/4_small.jpg	Sample of Document Product Type	Document Product Type is used for Documents that are also available for sale. <br /><br />You might wish to display brief peices of the Document then offer it for sale. <br /><br />This Product Type is also handy for downloadable Documents or Documents available either on CD or by download. <br /><br />The Document Product Type could be used in the Document Sidebox or the Categories Sidebox depending on how you configure its master categories id. <br /><br />This product has also been added as a linked product to the Document Category. This will allow it to show in both the Category and Document Sidebox. While not marked specifically for the master product type id related to the Product Types, it now is in a Product Type set for Document General so it will show in both boxes.		3.95	0		2004-07-12 15:32:40	1000	Mixed Product Types	Documents							Taxable Goods	0	EOREOR
PGT	samples/1_small.jpg	Sample of Product General Type	Product General Type are your regular products.    There are no special needs or layout issues to work with.		3.95	1		2004-07-12 15:25:32	1000	Hewlett Packard	Mixed Product Types							Taxable Goods	0	EOREOR
PMT	samples/2_small.jpg	Sample of Product Music Type	The Product Music Type is specially designed for music media.    This can offer a lot more flexibility than the Product General.		3.95	1		2004-07-12 15:27:50	1000	Hewlett Packard	Mixed Product Types							Taxable Goods	0	EOREOR
	samples/3_small.jpg	Sample of Document General Type	Document General Type is used for Products that are actually Documents.    These cannot be added to the cart but can be configured for the Document Sidebox. If your Document Sidebox is not showing, go to the Layout Controller and turn it on for your template.		0	0		2004-07-12 15:29:23	0		Mixed Product Types							--none--	1	EOREOR
DPT	samples/4_small.jpg	Sample of Document Product Type	Document Product Type is used for Documents that are also available for sale. <br /><br />You might wish to display brief peices of the Document then offer it for sale. <br /><br />This Product Type is also handy for downloadable Documents or Documents available either on CD or by download. <br /><br />The Document Product Type could be used in the Document Sidebox or the Categories Sidebox depending on how you configure its master categories id. <br /><br />This product has also been added as a linked product to the Document Category. This will allow it to show in both the Category and Document Sidebox. While not marked specifically for the master product type id related to the Product Types, it now is in a Product Type set for Document General so it will show in both boxes.		3.95	0		2004-07-12 15:32:40	1000	Mixed Product Types	Mixed Product Types							Taxable Goods	0	EOREOR
PFS	samples/5_small.jpg	Sample of Product Free Shipping Type	<p>Product Free Shipping can be setup to highlight the Free Shipping aspect of the product. <br /><br />These pages include a Free Shipping Image on them. <br /><br />You can define the ALWAYS_FREE_SHIPPING_ICON in the language file. This can be Text, Image, Text/Image Combo or nothing. <br /><br />The weight does not matter on Always Free Shipping if you set Always Free Shipping to Yes. <br /><br />Be sure to have the Free Shipping Module Turned on! Otherwise, if this is the only product in the cart, it will not be able to be shipped. <br /><br />Notice that this is defined with a weight of 5lbs. But because of the Always Free Shipping being set to Y there will be no shipping charges for this product. <br /><br />You do not have to use the Product Free Shipping product type just to use Always Free Shipping. But the reason you may want to do this is so that the layout of the Product Free Shipping product info page can be layout specifically for the Free Shipping aspect of the product. <br /><br />This includes a READONLY attribute for Option Name: Shipping and Option Value: Free Shipping Included. READONLY attributes do not show on the options for the order.</p>		3.95	5		2004-07-12 15:39:18	1000	Mixed Product Types	Mixed Product Types							--none--	0	EOREOR
Test Document	This is a test document				0	2004	0000-00-00 00:00:00	2005-08-30 19:44:28	0	Hewlett Packard	--none--							--none--	0	EOREOR
samples/3_small.jpg	Sample of Document General Type	Document General Type is used for Products that are actually Doc		0	0	0	2004-07-12 15:29:23	0000-00-00 00:00:00	1	Mixed Product Types	--none--							--none--	0	EOREOR
